"","taxa","count","family","genus","species"
"7088","Larix decidua-type",132,"Pinaceae","Larix","decidua"
"7318","Linnaea borealis",132,"Caprifoliaceae","Linnaea","borealis"
"10849","Rubiaceae cf. Hoffmannia",132,NA,NA,""
"13330","Unknown (type U2a)",132,NA,NA,NA
"657","Anemone nemorosa group",131,"Ranunculaceae","Anemone",""
"1668","Bomarea",131,"Alstroemeriaceae","Bomarea",""
"3913","Correa",131,"Rutaceae","Correa",""
"6779","Iris pseudacorus-type",131,"Iridaceae","Iris","pseudacorus"
"7128","Laurelia",131,"Atherospermataceae","Laurelia",""
"7991","Microcachrys tetragona",131,"Podocarpaceae","Microcachrys","tetragona"
"9372","Pinus subg. Strobus (small)",131,"Pinaceae","Pinus",""
"4562","Dipsacoideae undiff.",130,NA,NA,NA
"4994","Ericoideae",130,"Ericaceae","",""
"5725","Fungi (type 12, HdV)",130,NA,NA,NA
"6297","Haplophyllum",130,"Rutaceae","Haplophyllum",""
"9416","Pittosporum",130,"Pittosporaceae","Pittosporum",""
"9608","Poaceae (Cerealia-type excluding Secale)",130,"Poaceae","",""
"10446","Quercus robur/Q. cerris",130,"Fagaceae","Quercus",""
"12750","Ulex/Cytisus-type",130,"Fabaceae",NA,""
"1000","Arecaceae (type I)",129,"Arecaceae","",""
"2037","Calytrix",129,"Myrtaceae","Calytrix",""
"6542","Huperzia selago subsp. arctica-type",129,"Lycopodiaceae","Huperzia",""
"6896","Juniperus brevifolia",129,"Cupressaceae","Juniperus","brevifolia"
"8368","Myrteola",129,"Myrtaceae","Myrteola",""
"8637","Opercularia",129,"Rubiaceae","Opercularia",""
"13413","Vaccinioideae",129,"Ericaceae","",""
"259","aff. Casuarina",128,"Casuarinaceae","Casuarina",""
"1543","Betula det. tree",128,"Betulaceae","Betula",""
"1645","Blepharis",128,"Acanthaceae","Blepharis",""
"1755","Botryococcus sp.",128,NA,NA,NA
"2709","cf. Chrysosplenium",128,"Saxifragaceae","Chrysosplenium",""
"3801","Conopodium majus",128,"Apiaceae","Conopodium","majus"
"4811","Eleocharis-type",128,"Cyperaceae","Eleocharis",""
"4941","Erica cf. E. arborea/multiflora",128,"Ericaceae","Erica",""
"5418","Fabaceae (reticulate)",128,"Fabaceae","",""
"6925","Justicia-type anselliana",128,"Acanthaceae","Justicia","anselliana"
"8523","Nymphaeaceae undiff.",128,"Nymphaeaceae","",""
"9246","Pilgerodendron-type",128,"Cupressaceae","Pilgerodendron",""
"10438","Quercus pubescens",128,"Fagaceae","Quercus","pubescens"
"11168","Saussurea nuda",128,"Asteraceae","Saussurea","nuda"
"11298","Scirpus",128,"Cyperaceae","Scirpus",""
"11466","Senna undiff.",128,"Fabaceae","Senna",""
"11605","Sium latifolium-type",128,"Apiaceae","Sium","latifolium"
"11890","Spiniferites cruciformis (form A)",128,NA,NA,NA
"12417","Tolpis-type",128,"Asteraceae","Tolpis",""
"12620","Triletes (Type 1)",128,NA,NA,NA
"684","Angelica lignescens",127,"Apiaceae","Angelica","lignescens"
"3434","Chrysobalanaceae",127,"Chrysobalanaceae","",""
"6684","Ilex perado ssp. azorica",127,"Aquifoliaceae","Ilex",""
"6760","Ipomoea-type",127,"Convolvulaceae","Ipomoea",""
"6934","Kalmia procumbens",127,"Ericaceae","Kalmia","procumbens"
"9429","Planera",127,"Ulmaceae","Planera",""
"10517","Ranunculus cortusifolius-type",127,"Ranunculaceae","Ranunculus","cortusifolius"
"11225","Scabiosa columbaria-type",127,"Caprifoliaceae","Scabiosa","columbaria"
"13369","Urtica membranacea-type",127,"Urticaceae","Urtica","membranacea"
"1074","Arrabidaea",126,"Bignoniaceae","Fridericia",""
"1567","Betula sect. Apterocaryon-type",126,"Betulaceae","Betula",""
"2345","Celtis toka",126,"Cannabaceae","Celtis","toka"
"6619","Hypecoum",126,"Papaveraceae","Hypecoum",""
"7106","Lasiosphaeria cf. L. caudata",126,NA,NA,NA
"7979","Micranthes hieraciifolia",126,"Saxifragaceae","Micranthes","hieraciifolia"
"9455","Plantago canescens",126,"Plantaginaceae","Plantago","canescens"
"9473","Plantago indeterminata",126,"Plantaginaceae","Plantago",""
"9718","Polyadosporites",126,NA,NA,NA
"9768","Polygonum californicum-type",126,"Polygonaceae","Polygonum","californicum"
"9980","Populus-type",126,"Salicaceae","Populus",""
"11285","Schoenoplectus sect. Schoenoplectus-type",126,"Cyperaceae","Schoenoplectus",""
"102","Acer macrophyllum-type",125,"Sapindaceae","Acer","macrophyllum"
"606","Anadenanthera",125,"Fabaceae","Anadenanthera",""
"3706","Collotheca sp.",125,NA,NA,NA
"3891","Cornus mas-type",125,"Cornaceae","Cornus","mas"
"4974","Ericaceae (type 2)",125,"Ericaceae","",""
"5424","Fabaceae (type 2)",125,"Fabaceae","",""
"6336","Helianthemum cf. H. canum",125,"Cistaceae","Helianthemum",""
"7972","Miconia-type",125,"Melastomataceae","Miconia",""
"8650","Ophioglossaceae",125,"Ophioglossaceae","",""
"9114","Pherosphaera hookeriana",125,"Podocarpaceae","Pherosphaera","hookeriana"
"9496","Plantago montana",125,"Plantaginaceae","Plantago","maritima"
"9963","Pontederia",125,"Pontederiaceae","Pontederia",""
"11377","Securinega virosa",125,"Phyllanthaceae","Flueggea","virosa"
"12605","Trilepisium-type (T. madagascariense)",125,"Moraceae","Trilepisium",""
"489","Alseis",124,"Rubiaceae","Alseis",""
"838","Apeiba",124,"Malvaceae","Apeiba",""
"1868","Bryopsida",124,"","",""
"3159","cf. Salix herbacea",124,"Salicaceae","Salix",""
"4082","Culcita macrocarpa",124,"Culcitaceae","Culcita","macrocarpa"
"6147","Gonocalyx",124,"Ericaceae","Gonocalyx",""
"6765","Iriartea-type",124,"Arecaceae","Iriartea",""
"6805","Isoëtes boryana",124,"Isoetaceae","Isoetes","boryana"
"8091","Minuartia-type",124,"Caryophyllaceae","Minuartia",""
"9457","Plantago cf. P. australis",124,"Plantaginaceae","Plantago",""
"11471","Sequoiadendron",124,"Cupressaceae","Sequoiadendron",""
"11759","Spermacoce-type",124,"Rubiaceae","Spermacoce",""
"11886","Spiniferites belerius",124,NA,NA,NA
"13185","Unknown (type 33, HdV)",124,NA,NA,NA
"13215","Unknown (type 5)",124,NA,NA,NA
"958","Arcella-type",123,NA,NA,NA
"1728","Bosqueia",123,"Moraceae","Trilepisium",""
"3571","Clausena",123,"Rutaceae","Clausena",""
"3693","Colchicum montanum",123,"Colchicaceae","Colchicum","montanum"
"3884","Cornus canadensis-type",123,"Cornaceae","Cornus","canadensis"
"4724","Ebenaceae",123,"Ebenaceae","",""
"6731","Indigofera-type",123,"Fabaceae","Indigofera",""
"7670","Maerua-type",123,"Capparaceae","Maerua",""
"9097","Phaeoceros",123,"Notothyladaceae","Phaeoceros",""
"9355","Pinus resinosa",123,"Pinaceae","Pinus","resinosa"
"9404","Pistacia atlantica",123,"Anacardiaceae","Pistacia","atlantica"
"9461","Plantago cf. P. major",123,"Plantaginaceae","Plantago",""
"9577","Poaceae (<20 µm)",123,"Poaceae","",""
"2005","Calocedrus",122,"Cupressaceae","Calocedrus",""
"5489","Fagaceae undiff.",122,"Fagaceae","",""
"6110","Glochidion",122,"Phyllanthaceae","Glochidion",""
"7887","Meliaceae/Bruniaceae",122,NA,"",""
"7898","Meliola ellisii (type 14, HdV)",122,NA,NA,NA
"10563","Raphia",122,"Arecaceae","Raphia",""
"10925","Rumex conglomeratus-type",122,"Polygonaceae","Rumex","conglomeratus"
"12969","unknown (trilete, psilate, <50 µm)",122,NA,NA,NA
"132","Achyranthes-type",121,"Amaranthaceae","Achyranthes",""
"288","Agavoideae",121,NA,NA,NA
"805","Anthriscus-type",121,"Apiaceae","Anthriscus",""
"5860","Fungi (type 8, UAB)",121,NA,NA,NA
"7252","Licania",121,"Chrysobalanaceae","Licania",""
"7743","Malva sylvestris-type",121,"Malvaceae","Malva","sylvestris"
"8410","Nemopanthus mucronatus",121,"Aquifoliaceae","Nemopanthus","mucronatus"
"9477","Plantago lanceolata/P. lagopus",121,"Plantaginaceae","Plantago",""
"9504","Plantago rigida (scabrate)",121,"Plantaginaceae","Plantago","rigida"
"9505","Plantago rigida (verrucate)",121,"Plantaginaceae","Plantago","rigida"
"9739","Polygala-type",121,"Polygalaceae","Polygala",""
"13034","Unknown (type 13)",121,NA,NA,NA
"13421","Vaccinium myrtillus",121,"Ericaceae","Vaccinium","myrtillus"
"441","Alnus acuminata",120,"Betulaceae","Alnus","acuminata"
"1060","Armeria-type",120,"Plumbaginaceae","Armeria",""
"1359","Austrocedrus chilensis-type",120,"Cupressaceae","Austrocedrus","chilensis"
"1937","Byttneria",120,"Malvaceae","Byttneria",""
"2844","cf. Glyceria",120,NA,NA,""
"4322","Dalea candida",120,"Fabaceae","Dalea","candida"
"7405","Lonchocarpus",120,"Fabaceae","Lonchocarpus",""
"7877","Melastomataceae (≥19 µm)",120,"Melastomataceae","",""
"8049","Mimosa undiff.",120,"Fabaceae","Mimosa",""
"10856","Rubiaceae-type",120,"Rubiaceae","",""
"10908","Rumex alpinus-type",120,"Polygonaceae","Rumex","alpinus"
"11758","Spermacoce undiff.",120,"Rubiaceae","Spermacoce",""
"12297","Teucrium-type",120,"Lamiaceae","Teucrium",""
"13686","Woodsia-type",120,"Woodsiaceae","Woodsia",""
"242","Aeschynomene",119,"Fabaceae","Aeschynomene",""
"1772","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)",119,NA,NA,NA
"2317","Celastraceae undiff.",119,"Celastraceae","",""
"2462","Ceratiola ericoides",119,"Ericaceae","Ceratiola","ericoides"
"3791","Connaraceae",119,"Connaraceae","",""
"6964","Knautia-type",119,"Caprifoliaceae","Knautia",""
"8991","Pellaea-type",119,"Pteridaceae","Hemionitis",""
"9211","Picconia azorica",119,"Oleaceae","Picconia","azorica"
"9247","Piliostigma",119,"Fabaceae","Piliostigma",""
"10745","Riccia lamellosa-type",119,"Ricciaceae","Riccia","lamellosa"
"11014","Sagittaria sagittifolia",119,"Alismataceae","Sagittaria","sagittifolia"
"11988","Stemodia",119,"Plantaginaceae","Stemodia",""
"12139","Syringa",119,"Oleaceae","Syringa",""
"12813","Unknown (cf. spore, type P)",119,NA,NA,NA
"12882","Unknown (monolete, smooth)",119,NA,NA,NA
"85","Acanthus-type",118,"Acanthaceae","Acanthus",""
"161","Acrostichum aureum",118,"Pteridaceae","Acrostichum","aureum"
"4780","Elaeagnaceae",118,"Elaeagnaceae","",""
"6101","Gleditsia",118,"Fabaceae","Gleditsia",""
"7035","Laguncularia racemosa",118,"Combretaceae","Laguncularia","racemosa"
"7453","Lotus cf. L. corniculatus",118,"Fabaceae","Lotus",""
"8086","Minuartia recurva",118,"Caryophyllaceae","Minuartia","recurva"
"8231","Muehlenbeckia-type",118,"Polygonaceae","Muehlenbeckia",""
"11157","Sarracenia",118,"Sarraceniaceae","Sarracenia",""
"11897","Spiniferites ramosus",118,NA,NA,NA
"13484","Vangueria",118,"Rubiaceae","Vangueria",""
"336","Alchornea (type 1)",117,"Euphorbiaceae","Alchornea",""
"1332","Atraphaxis",117,"Polygonaceae","Atraphaxis",""
"1621","Bistorta vivipara-type",117,"Polygonaceae","Persicaria","vivipara"
"2313","Ceiba",117,"Malvaceae","Ceiba",""
"3879","Cornulaca/Aerva",117,"Amaranthaceae",NA,""
"5306","Euglypha",117,"Aristolochiaceae","Euglypha",""
"5942","Gardenia",117,"Rubiaceae","Gardenia",""
"10986","Sabal",117,"Arecaceae","Sabal",""
"11933","Spondias-type",117,"Anacardiaceae","Spondias",""
"12005","Sterculia-type",117,"Malvaceae","Sterculia",""
"12979","Unknown (trilete, sculptured)",117,NA,NA,NA
"13546","Viburnum edule",117,"Viburnaceae","Viburnum","edule"
"13706","Xylariaceae",117,NA,NA,NA
"13791","δ13C",117,NA,NA,NA
"755","Anthericum-type",116,"Asparagaceae","Anthericum",""
"898","Apodytes",116,"Metteniusaceae","Apodytes",""
"1194","Assulina sp.",116,NA,NA,NA
"1366","Avena/Triticum group",116,"Poaceae",NA,""
"1978","Calcium carbonate",116,NA,NA,NA
"2346","Celtis undiff.",116,"Cannabaceae","Celtis",""
"3739","Combretum-type molle",116,"Combretaceae","Combretum","molle"
"4140","Cyanobacteria",116,NA,NA,NA
"4576","Discaria",116,"Rhamnaceae","Discaria",""
"7397","Lomatia/Gevuina",116,"Proteaceae",NA,""
"7934","Mercurialis annua-type",116,"Euphorbiaceae","Mercurialis","annua"
"8912","Pausinystalia-type macroceras",116,"Rubiaceae","Corynanthe","macroceras"
"9119","Phillyrea angustifolia",116,"Oleaceae","Phillyrea","angustifolia"
"9500","Plantago ovata-type",116,"Plantaginaceae","Plantago","ovata"
"10669","Rhizophora mangle",116,"Rhizophoraceae","Rhizophora","mangle"
"11056","Salix vestita-type",116,"Salicaceae","Salix","vestita"
"11192","Saxifraga granulata",116,"Saxifragaceae","Saxifraga","granulata"
"12934","Unknown (spores)",116,NA,NA,NA
"13280","Unknown (type 9)",116,NA,NA,NA
"13558","Viburnum undiff.",116,"Viburnaceae","Viburnum",""
"1154","Asparagus-type",115,"Asparagaceae","Asparagus",""
"1328","Athyrium-type",115,"Athyriaceae","Athyrium",""
"2421","Centropogon",115,"Campanulaceae","Centropogon",""
"3393","Chelidonium majus",115,"Papaveraceae","Chelidonium","majus"
"3454","Chrysosplenium-type",115,"Saxifragaceae","Chrysosplenium",""
"3897","Cornus sanguinea-type",115,"Cornaceae","Cornus","sanguinea"
"3934","Corylus americana",115,"Betulaceae","Corylus","americana"
"4153","Cyathea (psilate)",115,"Cyatheaceae","Cyathea",""
"4815","Elymus",115,"Poaceae","Elymus",""
"7276","Lilium",115,"Liliaceae","Lilium",""
"7279","Lilium martagon-type",115,"Liliaceae","Lilium","martagon"
"8277","Myrianthus-type holstii",115,"Urticaceae","Myrianthus","holstii"
"9443","Plantago africana-type",115,"Plantaginaceae","Plantago","africana"
"9655","Poaceae pro parte",115,"Poaceae","",""
"12508","Trichocladus",115,"Hamamelidaceae","Trichocladus",""
"12564","Trientalis europaea",115,"Primulaceae","Lysimachia","europaea"
"12598","Triglochin/Sparganium",115,NA,NA,""
"241","Aerva-type lanata",114,"Amaranthaceae","Aerva","lanata"
"444","Alnus cf. A. suaveolens",114,"Betulaceae","Alnus",""
"1251","Asteroideae (low spine)",114,"Asteraceae","",""
"1473","Bauera rubioides",114,"Cunoniaceae","Bauera","rubioides"
"1605","Bischofia",114,"Phyllanthaceae","Bischofia",""
"2473","Ceratophyllum demersum",114,"Ceratophyllaceae","Ceratophyllum","demersum"
"4663","Drosera intermedia",114,"Droseraceae","Drosera","intermedia"
"6138","Godoya",114,"Ochnaceae","Godoya",""
"8282","Myrica sp.",114,"Myricaceae","Myrica",""
"9153","Phragmites australis-type",114,"Poaceae","Phragmites","australis"
"10002","Potamogeton eupotamogeton",114,"Potamogetonaceae","Potamogeton",""
"10507","Ranunculus arvensis-type",114,"Ranunculaceae","Ranunculus","arvensis"
"11246","Scenedesmus quadricauda",114,NA,NA,NA
"11847","Spermatophyta undiff. (deciduous trees)",114,NA,NA,NA
"12260","Tetracera alnifolia",114,"Dilleniaceae","Tetracera","alnifolia"
"13467","Valeriana-type",114,"Caprifoliaceae","Valeriana",""
"510","Alternanthera-type",113,"Amaranthaceae","Alternanthera",""
"968","Arctium",113,"Asteraceae","Arctium",""
"971","Arctium-type",113,"Asteraceae","Arctium",""
"1394","Baccharis/Taraxacum-type",113,NA,NA,""
"4759","Echium vulgare",113,"Boraginaceae","Echium","vulgare"
"4822","Embothrium",113,"Proteaceae","Embothrium",""
"6588","Hygrophila",113,"Acanthaceae","Hygrophila",""
"6686","Ilex-type",113,"Aquifoliaceae","Ilex",""
"8607","Olpidiaceae",113,NA,NA,NA
"9649","Poaceae (type I)",113,"Poaceae","",""
"10660","Rhexia-type",113,"Melastomataceae","Rhexia",""
"11743","Spergula/Spergularia",113,"Caryophyllaceae",NA,""
"12523","Trichomanes speciosum",113,"Hymenophyllaceae","Trichomanes","speciosum"
"254","Aethusa cynapium",112,"Apiaceae","Aethusa","cynapium"
"445","Alnus cf. A. viridis",112,"Betulaceae","Alnus",""
"1073","Arnoseris minima",112,"Asteraceae","Arnoseris","minima"
"1711","Borassus/Hyphaene",112,"Arecaceae",NA,""
"3247","cf. Taxus",112,"Taxaceae","Taxus",""
"5916","Galiniera",112,"Rubiaceae","Galiniera",""
"8987","Pellaea",112,"Pteridaceae","Hemionitis",""
"10678","Rhizopoda",112,NA,NA,NA
"11480","Serjania",112,"Sapindaceae","Serjania",""
"11564","Silene viscaria-type",112,"Caryophyllaceae","Silene","viscaria"
"11615","Sloanea-type",112,"Elaeocarpaceae","Sloanea",""
"13235","Unknown (type 6)",112,NA,NA,NA
"2185","Carthamus-type",111,"Asteraceae","Carthamus",""
"3351","Chamaecrista-type",111,"Fabaceae","Chamaecrista",""
"3541","Cistus salviifolius",111,"Cistaceae","Cistus","salviifolius"
"4026","Crotalaria-type",111,"Fabaceae","Crotalaria",""
"6988","Kotschya-type",111,"Fabaceae","Kotschya",""
"7664","Macrolobium-type",111,"Fabaceae","Macrolobium",""
"7925","Menyanthaceae",111,"Menyanthaceae","",""
"8340","Myrsinoideae undiff.",111,NA,NA,NA
"9693","Podospora-type (type 368, HdV)",111,NA,NA,NA
"10956","Rumex subg. Rumex-type",111,"Polygonaceae","Rumex",""
"10979","Rutaceae undiff.",111,"Rutaceae","",""
"13354","Urgineeae",111,NA,NA,NA
"396","Alibertia",110,"Rubiaceae","Alibertia",""
"1089","Artemisia cf. A. norvegica",110,"Asteraceae","Artemisia",""
"3347","Chaetomium undiff.",110,NA,NA,NA
"3906","Cornus undiff.",110,"Cornaceae","Cornus",""
"4373","Decodon verticillatus",110,"Lythraceae","Decodon","verticillatus"
"4973","Ericaceae (type 1)",110,"Ericaceae","",""
"5247","Eudicotyledoneae (tricolporate, reticulate)",110,NA,NA,NA
"5459","Fabales (type I)",110,"","",""
"7325","Linum catharticum",110,"Linaceae","Linum","catharticum"
"7624","Lythrum portula-type",110,"Lythraceae","Lythrum","portula"
"8157","Monoletes (verrucate)",110,NA,NA,NA
"8266","Myrcia",110,"Myrtaceae","Myrcia",""
"9305","Pinus canariensis",110,"Pinaceae","Pinus","canariensis"
"10412","Quercus cf. Q. rotundifolia",110,"Fagaceae","Quercus",""
"10785","Rosaceae (>20 µm)",110,"Rosaceae","",""
"10988","Sabiaceae",110,"Sabiaceae","",""
"11956","Stachytarpheta",110,"Verbenaceae","Stachytarpheta",""
"12573","Trifolium badium-type",110,"Fabaceae","Trifolium","badium"
"455","Alnus rhombifolia-type",109,"Betulaceae","Alnus","rhombifolia"
"1131","Ascomycota",109,NA,NA,NA
"1268","Astragalus alpinus",109,"Fabaceae","Astragalus","alpinus"
"2436","Cephalanthus occidentalis",109,"Rubiaceae","Cephalanthus","occidentalis"
"3265","cf. Trichocladium opacum (type 10, HdV)",109,NA,NA,NA
"3569","Clasterosporium caricinum",109,NA,NA,NA
"4305","Dacrycarpus dacrydioides",109,"Podocarpaceae","Dacrycarpus","dacrydioides"
"7547","Lycopodium fastigiatum",109,"Lycopodiaceae","Lycopodium","fastigiatum"
"8012","Microthyrium undiff.",109,NA,NA,NA
"8084","Minuartia",109,"Caryophyllaceae","Minuartia",""
"8504","Nuxia/Dobera",109,NA,NA,""
"8841","Papuacedrus",109,"Cupressaceae","Papuacedrus",""
"9964","Pontederiaceae",109,"Pontederiaceae","",""
"10012","Potamogeton undiff.",109,"Potamogetonaceae","Potamogeton",""
"10409","Quercus cf. Q. canariensis",109,"Fagaceae","Quercus",""
"10673","Rhizophora stylosa",109,"Rhizophoraceae","Rhizophora","stylosa"
"12212","Tasmannia lanceolata",109,"Winteraceae","Tasmannia","lanceolata"
"13759","Zizania",109,"Poaceae","Zizania",""
"966","Archerella flavum (type 31A, HdV)",108,NA,NA,NA
"2437","Cephalaria",108,"Caprifoliaceae","Cephalaria",""
"3624","Cliffortia nitidula-type",108,"Rosaceae","Cliffortia","nitidula"
"3758","Commiphora africana-type",108,"Burseraceae","Commiphora","africana"
"4320","Dalbergia-type",108,"Fabaceae","Dalbergia",""
"5648","Fraxinus angustifolia subsp. oxycarpa-type",108,"Oleaceae","Fraxinus",""
"6489","Homalium",108,"Salicaceae","Homalium",""
"6548","Huperzia suberecta",108,"Lycopodiaceae","Huperzia","suberecta"
"6632","Hypericum foliosum-type",108,"Hypericaceae","Hypericum","foliosum"
"8070","mimosoid clade (type II)",108,NA,NA,NA
"8539","Ochnaceae",108,"Ochnaceae","",""
"8705","Ornithopus",108,"Fabaceae","Ornithopus",""
"9220","Picea det. P. mariana",108,NA,"Picea",""
"10354","Puccinia",108,NA,NA,NA
"11099","Sanguisorba canadensis",108,"Rosaceae","Sanguisorba","canadensis"
"11228","Scabiosa-type",108,"Caprifoliaceae","Scabiosa",""
"11688","Sorbus aucuparia-type",108,"Rosaceae","Sorbus","aucuparia"
"12719","Typha sp.",108,"Typhaceae","Typha",""
"1638","Blechnum cf. B. tabulare",107,"Blechnaceae","Blechnum",""
"3552","Citrus",107,"Rutaceae","Citrus",""
"3559","Cladium undiff.",107,"Cyperaceae","Cladium",""
"3926","Corydalis",107,"Papaveraceae","Corydalis",""
"6453","Hippocastanoideae",107,"Sapindaceae","",""
"6603","Hymenodictyon-type floribundum",107,"Rubiaceae","Hymenodictyon","floribundum"
"9650","Poaceae (type II)",107,"Poaceae","",""
"10346","Pteropyrum-type",107,"Polygonaceae","Pteropyrum",""
"10775","Rorippa amphibia",107,"Brassicaceae","Rorippa","amphibia"
"10824","Rubia",107,"Rubiaceae","Rubia",""
"10854","Rubiaceae pro parte",107,"Rubiaceae","",""
"11309","Scleranthus-type",107,"Caryophyllaceae","Scleranthus",""
"12084","Swertia perennis",107,"Gentianaceae","Swertia","perennis"
"442","Alnus cf. A. glutinosa",106,"Betulaceae","Alnus",""
"3680","Coelastrum polychordum",106,NA,NA,NA
"4167","Cyathea cf. C. delgadoi",106,"Cyatheaceae","Cyathea",""
"4426","Dianthus superbus-type",106,"Caryophyllaceae","Dianthus","superbus"
"5273","Eudicotyledoneae (tricolporate, type 1, Helmens & Kuhry 1986)",106,NA,NA,NA
"5547","Ficalhoa",106,"Sladeniaceae","Ficalhoa",""
"6134","Gnidia-type",106,"Thymelaeaceae","Gnidia",""
"7197","Lepilaena",106,"Potamogetonaceae","Althenia",""
"7514","Lycopodiella alopecuroides",106,"Lycopodiaceae","Lycopodiella","alopecuroides"
"7881","Melastomataceae-type",106,"Melastomataceae","",""
"8804","Paliurus",106,"Rhamnaceae","Paliurus",""
"9585","Poaceae (<47 µm)",106,"Poaceae","",""
"12189","Tapirira-type",106,"Anacardiaceae","Tapirira",""
"12359","Thymus/Mentha-type",106,"Lamiaceae",NA,""
"12892","Unknown (monolete, verrucate, <50 µm)",106,NA,NA,NA
"483","Alonella excisa",105,NA,NA,NA
"1531","Betula (large)",105,"Betulaceae","Betula",""
"2487","Cercocarpus/Purshia",105,NA,NA,""
"3178","cf. Saxifraga stellaris-type",105,"Saxifragaceae","Saxifraga",""
"3478","Cichorium-type",105,"Asteraceae","Cichorium",""
"4161","Cyathea (type I)",105,"Cyatheaceae","Cyathea",""
"4204","Cycadaceae-type",105,"Cycadaceae","",""
"4717","Duroia",105,"Rubiaceae","Duroia",""
"4953","Erica scoparia",105,"Ericaceae","Erica","scoparia"
"5384","Excoecaria",105,"Euphorbiaceae","Excoecaria",""
"5683","Fuchsia",105,"Onagraceae","Fuchsia",""
"7222","Leptospermum undiff.",105,"Myrtaceae","Leptospermum",""
"7486","Lychnis-type",105,"Caryophyllaceae","Lychnis",""
"7490","Lycium",105,"Solanaceae","Lycium",""
"9974","Populus tremula-type",105,"Salicaceae","Populus","tremula"
"10574","Reseda",105,"Resedaceae","Reseda",""
"10580","Resedaceae",105,"Resedaceae","",""
"11111","Sanicula",105,"Apiaceae","Sanicula",""
"11520","Sida crystallina",105,"Malvaceae","Sida",""
"1019","Arecaceae-type (Mauritius type 54c, de Boer)",104,"Arecaceae","",""
"1198","Astelia alpina",104,"Asteliaceae","Astelia","alpina"
"4093","Cupania (type 1)",104,"Sapindaceae","Cupania",""
"4775","Ekebergia",104,"Meliaceae","Ekebergia",""
"5439","Fabaceae cf. Parkinsonia",104,"Fabaceae",NA,""
"5761","Fungi (type 24, HdV)",104,NA,NA,NA
"5850","Fungi (type 64, HdV)",104,NA,NA,NA
"5953","Gaultheria",104,"Ericaceae","Gaultheria",""
"5977","Genipa",104,"Rubiaceae","Genipa",""
"7016","Laetia aff. L. coriacea",104,"Salicaceae","Laetia",""
"7454","Lotus corniculatus",104,"Fabaceae","Lotus","corniculatus"
"8753","Other preservation classes",104,NA,NA,NA
"9106","Phebalium",104,"Rutaceae","Phebalium",""
"10549","Ranunculus trichophyllus",104,"Ranunculaceae","Ranunculus","trichophyllus"
"10825","Rubia-type",104,"Rubiaceae","Rubia",""
"13580","Vigna",104,"Fabaceae","Vigna",""
"1508","Berlinia-type",103,"Fabaceae","Berlinia",""
"3508","Cissampelos",103,"Menispermaceae","Cissampelos",""
"4293","Cystopteris-type",103,"Cystopteridaceae","Cystopteris",""
"5427","Fabaceae (type III)",103,"Fabaceae","",""
"6956","Kiggelaria africana",103,"Achariaceae","Kiggelaria","africana"
"8031","Mimosa (type I)",103,"Fabaceae","Mimosa",""
"8109","Mitragyna-type (M. inermis)",103,"Rubiaceae","Mitragyna",""
"9055","Persicaria hydropiper-type",103,"Polygonaceae","Persicaria","hydropiper"
"9573","Pluricellaesporites",103,NA,NA,NA
"10011","Potamogeton thunbergii-type",103,"Potamogetonaceae","Potamogeton","nodosus"
"10402","Quercus (rough)",103,"Fagaceae","Quercus",""
"10403","Quercus (smooth)",103,"Fagaceae","Quercus",""
"10948","Rumex scutatus",103,"Polygonaceae","Rumex","scutatus"
"12347","Thuja plicata-type",103,"Cupressaceae","Thuja","plicata"
"12708","Typha domingensis",103,"Typhaceae","Typha","domingensis"
"12925","Unknown (reniform)",103,NA,NA,NA
"13723","Zanha golungensis-type",103,"Sapindaceae","Zanha","golungensis"
"201","Adesmia-type",102,"Fabaceae","Adesmia",""
"3587","Claytosmunda claytoniana",102,"Osmundaceae","Claytosmunda",""
"9174","Phyllanthus rivae-type",102,"Phyllanthaceae","Phyllanthus","rivae"
"9361","Pinus sibirica-type",102,"Pinaceae","Pinus","sibirica"
"9550","Pleospora undiff.",102,NA,NA,NA
"10449","Quercus sp.",102,"Fagaceae","Quercus",""
"11011","Sagina-type",102,"Caryophyllaceae","Sagina",""
"11381","Sedimentation rate",102,NA,NA,NA
"12842","Unknown (hexagonal mesh)",102,NA,NA,NA
"13454","Valeriana excelsa subsp. sambucifolia-type",102,"Caprifoliaceae","Valeriana",""
"1113","Arthropoda",101,NA,NA,NA
"1318","Atherosperma moschatum",101,"Atherospermataceae","Atherosperma","moschatum"
"1713","Boronia",101,"Rutaceae","Boronia",""
"2087","Cannabis sativa-type",101,"Cannabaceae","Cannabis","sativa"
"2808","cf. Fabaceae (type 3)",101,"Fabaceae","",""
"3358","Chamaedaphne calyculata",101,"Ericaceae","Chamaedaphne","calyculata"
"3527","Cistus albidus-type",101,"Cistaceae","Cistus","albidus"
"3728","Combretaceae/Melastomataceae-type",101,NA,"",""
"4812","Elodea",101,"Hydrocharitaceae","Elodea",""
"5386","Exocarpos",101,"Santalaceae","Exocarpos",""
"5470","Faboideae (type 1)",101,NA,NA,NA
"6361","Helicosporium/Helicoön pluriseptatum (type 30, HdV)",101,NA,NA,NA
"6595","Hymenocardia acida-type",101,"Phyllanthaceae","Hymenocardia","acida"
"7579","Lycopus/Mentha",101,"Lamiaceae",NA,""
"8511","Nymphaea candida",101,"Nymphaeaceae","Nymphaea","candida"
