taxa,count,family,genus,species,corrected
Garcinia,57,Clusiaceae,Garcinia,,
Gentiana lutea,57,Gentianaceae,Gentiana,lutea,
Glaucium,57,Papaveraceae,Glaucium,,
Guibourtia-type demeusei,57,NA,NA,NA,
Hyphaene-type,57,NA,NA,NA,
Julbernardia type 2,57,Fabaceae,Julbernardia,,
Laserpitium latifolium-type,57,Apiaceae,Laserpitium,,
Latania-type,57,NA,NA,NA,
Listera-type,57,NA,NA,NA,
Lycopodiaceae cf. Lycopodium annotinum,57,NA,NA,NA,
Lycopodium serratum-type,57,Lycopodiaceae,Lycopodium,,
Malus-type,57,NA,NA,NA,
Mandevilla,57,Apocynaceae,Mandevilla,,
Melicope,57,Rutaceae,Melicope,,
Nebela,57,NA,NA,NA,
Papaver argemone,57,Papaveraceae,Roemeria,argemone,
Pediastrum duplex-type,57,NA,NA,NA,
Pseudolmedia,57,Moraceae,Pseudolmedia,,
Rheum ribes,57,Polygonaceae,Rheum,ribes,
Sanguisorba minor/Poterium,57,NA,NA,NA,
Stuckenia-type,57,NA,NA,NA,
Typha cf. T. domingensis,57,Typhaceae,Typha,,
Uncaria-type africana,57,NA,NA,NA,
Zanthoxylum (type I),57,Rutaceae,Zanthoxylum,,
Asphodelaceae,56,Asphodelaceae,,,
Celtis (type 1),56,Cannabaceae,Celtis,,
cf. Copaifera,56,Fabaceae,Copaifera,,
cf. Quercus,56,Fagaceae,Quercus,,
Clausena anisata,56,Rutaceae,Clausena,anisata,
Crassocephalum-type (C. montuosum),56,NA,NA,NA,
"Eudicotyledoneae (tricolpate, 18 µm)",56,NA,NA,NA,
Eudicotyledoneae (tricolpate) undiff.,56,NA,NA,NA,
"Eudicotyledoneae (tricolporate, reticulate intercolpium)",56,NA,NA,NA,
Gnidia-type (G. glauca),56,NA,NA,NA,
Histiopteris incisa,56,Dennstaedtiaceae,Histiopteris,incisa,
Holoptelea,56,Ulmaceae,Holoptelea,,
Hydrocharis morsus-ranae,56,Hydrocharitaceae,Hydrocharis,morsus-ranae,
Jungia-type,56,NA,NA,NA,
Merremia-type,56,NA,NA,NA,
Pinus aristata-type,56,Pinaceae,Pinus,,
Psydrax-type (P. schimperiana),56,NA,NA,NA,
"Pteridophyta (monolete, psilate, large)",56,NA,NA,NA,
Restionaceae undiff.,56,Restionaceae,,,
"Rhabdocoela (type 353, HdV)",56,NA,NA,NA,
Rubus australis,56,Rosaceae,Rubus,australis,
Rumex cf. R. hydrolapathum,56,Polygonaceae,Rumex,,
Saxegothaea conspicua,56,Podocarpaceae,Saxegothaea,conspicua,
Subularia,56,Brassicaceae,Subularia,,
Tapirira aff. T. guianensis,56,Anacardiaceae,Tapirira,,
Aethusa-type,55,NA,NA,NA,
"Alnus (tree, robust deep pores)",55,Betulaceae,Alnus,,
Antiaris-type (A. toxicaria),55,NA,NA,NA,
Asteroideae (type 4),55,Asteraceae,,,
Bertya,55,Euphorbiaceae,Bertya,,
Brachylaena,55,Asteraceae,Brachylaena,,
Cadaba,55,Capparaceae,Cadaba,,
Carum verticillatum,55,Apiaceae,Trocdaris,verticillata,
Caryophyllaceae pro parte,55,Caryophyllaceae,,,
Cedrus libani,55,Pinaceae,Cedrus,libani,
cf. Elaphoglossum,55,Dryopteridaceae,Elaphoglossum,,
Cistus incanus-type,55,Cistaceae,Cistus,,
Coniferae (saccate),55,NA,NA,NA,
Corchorus-type fascicularis,55,NA,NA,NA,
Danaea,55,Marattiaceae,Danaea,,
Decaspermum,55,Myrtaceae,Decaspermum,,
Dicliptera-type,55,NA,NA,NA,
Epacrideae-type,55,NA,NA,NA,
Epipactis,55,Orchidaceae,Epipactis,,
"Eudicotyledoneae (tricolporate, prolate)",55,NA,NA,NA,
Fallopia convolvulus/F. dumetorum,55,Polygonaceae,Fallopia,,
Galactia,55,Fabaceae,Galactia,,
Geranium-type,55,NA,NA,NA,
Hottonia,55,Primulaceae,Hottonia,,
"Invertebrata (type 219, HdV)",55,NA,NA,NA,
Jurinea,55,Asteraceae,Jurinea,,
Microrrhinum minus,55,Plantaginaceae,Chaenorhinum,minus,
Moehringia-type,55,NA,NA,NA,
Orobanchaceae,55,Orobanchaceae,,,
Pediastrum sp.,55,NA,NA,NA,
Pediastrum spp.,55,NA,NA,NA,
Pedicularis hirsuta,55,Orobanchaceae,Pedicularis,hirsuta,
Polypodiophyta (wavy perine),55,NA,NA,NA,
Primula farinosa-type,55,Primulaceae,Primula,,
Sagina procumbens-type,55,Caryophyllaceae,Sagina,,
Sapotaceae (type I),55,Sapotaceae,,,
Sium,55,Apiaceae,Sium,,
Souroubea,55,Marcgraviaceae,Souroubea,,
Symplocos (type 2),55,Symplocaceae,Symplocos,,
Treculia africana,55,Moraceae,Treculia,africana,
Trema orientalis-type,55,Cannabaceae,Trema,,
Unknown (pre-Quaternary/early Quaternary),55,NA,NA,NA,
Viola arvensis-type,55,Violaceae,Viola,,
Ximenia americana,55,Olacaceae,Ximenia,americana,
Abatia,54,Salicaceae,Abatia,,
Achyranthes-type (A. aspera),54,NA,NA,NA,
Asteraceae cf. Perezia,54,NA,NA,NA,
Blechnum auratum-type,54,Blechnaceae,Blechnum,,
"Botryococcus sp. (type 766, HdV)",54,NA,NA,NA,
Calycolpus,54,Myrtaceae,Calycolpus,,
Cenarrhenes nitida,54,Proteaceae,Cenarrhenes,nitida,
Coryloideae-type,54,NA,NA,NA,
Cyathea (type 1),54,Cyatheaceae,Cyathea,,
Descurainia-type,54,NA,NA,NA,
Diphasium jussiaei-type,54,Lycopodiaceae,Lycopodium,,
"Dodonaea (Mauritius type 128, de Boer)",54,Sapindaceae,Dodonaea,,
Drosera-type,54,NA,NA,NA,
Eichhornia (type I),54,Pontederiaceae,Pontederia,,
Euphorbia/Mabea-type,54,Euphorbiaceae,Euphorbia,,
"Fungi (type 4, UAB)",54,NA,NA,NA,
Fusiformisporites,54,NA,NA,NA,
Gentiana undiff.,54,Gentianaceae,Gentiana,,
Helicostylis,54,Moraceae,Helicostylis,,
Helleborus foetidus,54,Ranunculaceae,Helleborus,foetidus,
"Invertebrata (type 88, HdV)",54,NA,NA,NA,
Lomariocycas,54,Blechnaceae,Blechnum,,
Lueheopsis,54,Malvaceae,Lueheopsis,,
Lycopodium for Pediastrum,54,Lycopodiaceae,Lycopodium,,
Lysimachia thyrsiflora,54,Primulaceae,Lysimachia,thyrsiflora,
Maesa-type (M. lanceolata),54,NA,NA,NA,
Parinari,54,Chrysobalanaceae,Parinari,,
Pediastrum orientale (type 1),54,NA,NA,NA,
Pediastrum/Botryococcus,54,NA,NA,NA,
Pinus banksiana/P. resinosa-type,54,Pinaceae,Pinus,,
Podocarpus (>40 µm),54,Podocarpaceae,Podocarpus,,
Pomaderris apetala,54,Rhamnaceae,Pomaderris,apetala,
Prunus pensylvanica,54,Rosaceae,Prunus,pensylvanica,
Pseudopediastrum boryanum var. boryanum (type 1),54,NA,NA,NA,
Pseudopediastrum boryanum var. boryanum (type 2),54,NA,NA,NA,
Quercus infectoria subsp. veneris-type,54,Fagaceae,Quercus,,
Rumex aquaticus group,54,Polygonaceae,Rumex,,
Sapotaceae (type II),54,Sapotaceae,,,
Spermatophyta (inaperturate),54,NA,NA,NA,
Tilletia caries-type,54,NA,NA,NA,
Tricolpopollenites microhenrici,54,NA,NA,NA,
Unknown (type 12),54,NA,NA,NA,
Acer saccharum/A. nigrum,53,Sapindaceae,Acer,,
Amaranthaceae (type II),53,Amaranthaceae,,,
Arecaceae incertae sedis,53,Arecaceae,,,
Baikiaea,53,Fabaceae,Baikiaea,,
Berberis-type,53,NA,NA,NA,
Boerhavia,53,Nyctaginaceae,Boerhavia,,
Brachionus sp.,53,NA,NA,NA,
Callitriche-type,53,NA,NA,NA,
Calpocalyx-type,53,NA,NA,NA,
Calpocalyx-type klainei,53,NA,NA,NA,
Carya-type,53,NA,NA,NA,
cf. Sanguisorba,53,Rosaceae,Sanguisorba,,
Clusiaceae undiff.,53,Clusiaceae,,,
Convallaria,53,Asparagaceae,Convallaria,,
Cyathea horrida-type,53,Cyatheaceae,Cyathea,,
Diphasiastrum madeirense,53,Lycopodiaceae,Lycopodium,madeirense,
Dryopteris campyloptera,53,Dryopteridaceae,Dryopteris,campyloptera,
Elaeagnus commutata,53,Elaeagnaceae,Elaeagnus,commutata,
Ephedra (branched folds),53,Ephedraceae,Ephedra,,
"Fungi (type 575, Kuhry 1988)",53,NA,NA,NA,
Gnaphalium,53,Asteraceae,Gnaphalium,,
Hermannia,53,Malvaceae,Hermannia,,
"Invertebrata? (type 187B, HdV)",53,NA,NA,NA,
Lathyrus palustris,53,Fabaceae,Lathyrus,palustris,
Leucopogon-type,53,NA,NA,NA,
Matteuccia,53,Onocleaceae,Onoclea,,
Melochia,53,Malvaceae,Melochia,,
Myrsine comp.,53,Primulaceae,Myrsine,,
Pagamea,53,Rubiaceae,Pagamea,,
Papaver radicatum,53,Papaveraceae,Oreomecon,radicata,
Pinus sylvestris/P. nigra-type,53,Pinaceae,Pinus,,
Poaceae (>32 µm),53,Poaceae,,,
Podocarpus latifolius,53,Podocarpaceae,Podocarpus,latifolius,
Polycarpon,53,Caryophyllaceae,Polycarpon,,
"Pteridophyta (monolete, without perine)",53,NA,NA,NA,
Silene ciliata-type,53,Caryophyllaceae,Silene,,
Sparganium/Typha angustifolia-type,53,NA,NA,NA,
Staurophyra elegans,53,NA,NA,NA,
Stenochlaena palustris,53,Blechnaceae,Stenochlaena,palustris,
Strychnos,53,Loganiaceae,Strychnos,,
Vaccinium sp.,53,Ericaceae,Vaccinium,,
Anacardiaceae (type 25),52,Anacardiaceae,,,
Aquilegia,52,Ranunculaceae,Aquilegia,,
Atherosperma,52,Atherospermataceae,Atherosperma,,
Boerhavia-type,52,NA,NA,NA,
cf. Dodecatheon,52,Primulaceae,Primula,,
Combretaceae-type,52,NA,NA,NA,
Cordia-type,52,NA,NA,NA,
Cryptogramma-type,52,NA,NA,NA,
Drimys brasiliensis,52,Winteraceae,Drimys,brasiliensis,
Eucalyptus pilularis-type/Melaleuca-type,52,Myrtaceae,Eucalyptus,,
Eudicotyledoneae (tricolporate) indet.,52,NA,NA,NA,
Fungi (type I),52,NA,NA,NA,
Helleborus undiff.,52,Ranunculaceae,Helleborus,,
Hypericum perforatum,52,Hypericaceae,Hypericum,perforatum,
Mecardonia,52,Plantaginaceae,Mecardonia,,
Molinaea,52,Sapindaceae,Molinaea,,
Momipites,52,NA,NA,NA,
Oxalis (type I),52,Oxalidaceae,Oxalis,,
Phyllostylon,52,Ulmaceae,Phyllostylon,,
Pouteria sp.,52,Sapotaceae,Pouteria,,
Rhamnus/Paliurus,52,Rhamnaceae,NA,,
Rumex acetosella/Oxyria digyna-type,52,NA,NA,NA,
Sarcopoterium-type,52,NA,NA,NA,
Sericostachys,52,Amaranthaceae,Sericostachys,,
Symphoricarpos albus,52,Caprifoliaceae,Symphoricarpos,albus,
Tsuga dumosa,52,Pinaceae,Tsuga,dumosa,
Unknown (Cretaceous),52,NA,NA,NA,
Unknown (non-pollen),52,NA,NA,NA,
Unknown (type 11),52,NA,NA,NA,
Unknown (type 7),52,NA,NA,NA,
Valsaria,52,NA,NA,NA,
Woodwardia,52,Blechnaceae,Woodwardia,,
Alchornea (type 2),51,Euphorbiaceae,Alchornea,,
"Alnus (shrub, pale shallow pores)",51,Betulaceae,Alnus,,
Arthrocaulon-type,51,NA,NA,NA,
Bersama,51,Francoaceae,Bersama,,
Camptostemon,51,Malvaceae,Camptostemon,,
Capparis-type,51,NA,NA,NA,
Chamaenerion latifolium,51,Onagraceae,Epilobium,latifolium,
Convallaria-type,51,NA,NA,NA,
Ehretia cymosa,51,Boraginaceae,Ehretia,cymosa,
Eichhornia (type II),51,Pontederiaceae,Pontederia,,
Ephedra major subsp. major,51,Ephedraceae,Ephedra,major,
Eucryphia/Anodopetalum,51,Cunoniaceae,NA,,
Gymnopodium,51,Polygonaceae,Gymnopodium,,
Gynoxys-type,51,NA,NA,NA,
Hamamelis virginiana,51,Hamamelidaceae,Hamamelis,virginiana,
Hypericum perforatum/H. androsaemum-type,51,Hypericaceae,Hypericum,,
Lemna minor,51,Araceae,Lemna,minor,
Leptospermum laevigatum,51,Myrtaceae,Leptospermum,laevigatum,
Menyanthes trifoliata/Nephrophyllidium crista-galli,51,NA,NA,NA,
Morus-type,51,NA,NA,NA,
Pediastrum orientale (type 2),51,NA,NA,NA,
Populus grandidentata-type,51,Salicaceae,Populus,,
Psydrax-type schimperiana,51,NA,NA,NA,
"Pteris sp. (type 2, verrucate)",51,Pteridaceae,Pteris,,
Rubiaceae cf. Galium sect. Relbunium,51,NA,NA,NA,
Salvadora persica,51,Salvadoraceae,Salvadora,persica,
Saxifraga spathularis,51,Saxifragaceae,Saxifraga,spathularis,
Spirogyra undiff.,51,NA,NA,NA,
Timonius,51,Rubiaceae,Timonius,,
"Zygnemataceae (type 62, HdV)",51,NA,NA,NA,
Zygnematales,51,NA,NA,NA,
Acaena magellanica,50,Rosaceae,Acaena,magellanica,
Adenanthera,50,Fabaceae,Adenanthera,,
Adonis aestivalis-type,50,Ranunculaceae,Adonis,,
Alona guttata,50,,Alona,,
Andira-type,50,NA,NA,NA,
Apiaceae (apiculate),50,Apiaceae,,,
Beta,50,Amaranthaceae,Beta,,
Bridelia scleroneura-type,50,Phyllanthaceae,Bridelia,,
cf. Celtis,50,Cannabaceae,Celtis,,
cf. Hydrocotyle,50,Araliaceae,Hydrocotyle,,
cf. Prunus serotina,50,Rosaceae,Prunus,,
Clethra-type,50,NA,NA,NA,
Dennstaedtiaceae: Pteridium-type,50,NA,NA,NA,
Entada,50,Fabaceae,Entada,,
Falcaria vulgaris,50,Apiaceae,Falcaria,vulgaris,
Fumarioideae,50,Papaveraceae,,,
Fungi (type 18),50,NA,NA,NA,
Guazuma,50,Malvaceae,Guazuma,,
Hippocrepis-type,50,NA,NA,NA,
Hymenostegia-type pellegrini,50,NA,NA,NA,
Monotropoideae,50,Ericaceae,,,
Myrianthus holstii-type,50,Urticaceae,Myrianthus,,
Nephrolepis,50,Nephrolepidaceae,Nephrolepis,,
Oenanthe aquatica,50,Apiaceae,Oenanthe,aquatica,
Paesia,50,Dennstaedtiaceae,Paesia,,
Pinus cembroides,50,Pinaceae,Pinus,cembroides,
Polypodiaceae: Lepisorus-type,50,NA,NA,NA,
Polypodium azoricum,50,Polypodiaceae,Polypodium,,
Rhamnus alnifolia/Frangula alnus,50,NA,NA,NA,
Rhynchosia,50,Fabaceae,Rhynchosia,,
Senecio (type A),50,Asteraceae,Senecio,,
Sonchus,50,Asteraceae,Sonchus,,
Swertia usambarensis-type,50,NA,NA,NA,
Tontelea,50,Celastraceae,Tontelea,,
Uapaca staudtii,50,Phyllanthaceae,Uapaca,staudtii,
"Unknown (trilete, foveolate)",50,NA,NA,NA,
Abuta,49,Menispermaceae,Abuta,,
Algae (small),49,NA,NA,NA,
Alstonia-type boonei,49,NA,NA,NA,
Amphitrema undiff.,49,NA,NA,NA,
Araliaceae-type,49,NA,NA,NA,
Asparagus buchananii-type,49,Asparagaceae,Asparagus,,
Astrocaryum,49,Arecaceae,Astrocaryum,,
Bruckenthalia spiculifolia,49,Ericaceae,Erica,spiculifolia,
Callitriche antarctica,49,Plantaginaceae,Callitriche,antarctica,
Celtis (type 3),49,Cannabaceae,Celtis,,
cf. Lemna,49,NA,NA,NA,
Chenopodium/Amaranthus,49,Amaranthaceae,NA,,
Cybianthus,49,Primulaceae,Cybianthus,,
Cynoglossum officinale-type,49,Boraginaceae,Cynoglossum,,
Dialium,49,Fabaceae,Dialium,,
Episcia,49,Gesneriaceae,Episcia,,
Eryngium campestre-type,49,Apiaceae,Eryngium,,
Eugenia simmondsiae,49,Myrtaceae,Syzygium,australe,
Gymnocarpium-type,49,NA,NA,NA,
Iridaceae/Liliaceae,49,NA,,,
Isoëtes savatieri,49,NA,NA,NA,
Lagenocarpus,49,Cyperaceae,Lagenocarpus,,
Lonicera-type,49,NA,NA,NA,
Lotus pedunculatus-type,49,Fabaceae,Lotus,,
Malouetia-type,49,NA,NA,NA,
mimosoid clade (polyad),49,NA,NA,NA,
"mimosoid clade (type II, large)",49,NA,NA,NA,
Musanga-type,49,NA,NA,NA,
Mutisioideae,49,Asteraceae,,,
Myrsine (tetracolpate),49,Primulaceae,Myrsine,,
Pinus elliottii,49,Pinaceae,Pinus,elliottii,
Pinus pinea,49,Pinaceae,Pinus,pinea,
"Polypodiophyta (monolete, reticulate)",49,NA,NA,NA,
Polypodium sp.,49,Polypodiaceae,Polypodium,,
Pteropyrum,49,Polygonaceae,Pteropyrum,,
Rhopalostylis sapida,49,Arecaceae,Rhopalostylis,sapida,
Rivulariaceae,49,NA,NA,NA,
Rubiaceae (monad),49,Rubiaceae,,,
Sapindus,49,Sapindaceae,Sapindus,,
Senecio (type B),49,Asteraceae,Senecio,,
Spermatophyta indet. (type 19),49,NA,NA,NA,
Spermatophyta undiff. (halophytes),49,NA,NA,NA,
Ulmus-type,49,NA,NA,NA,
Unknown (reticulate),49,NA,NA,NA,
"Unknown (type A6, Melief 1985)",49,NA,NA,NA,
Zanthoxylum-type zanthoxyloides,49,NA,NA,NA,
Acer nigrum,48,Sapindaceae,Acer,saccharum,
Alsophila cf. A. elegans,48,Cyatheaceae,Alsophila,,
Anacardiaceae (type I),48,Anacardiaceae,,,
Argemone,48,Papaveraceae,Argemone,,
Asperula,48,Rubiaceae,Asperula,,
Asteroideae (short spine),48,Asteraceae,,,
Borassus,48,Arecaceae,Borassus,,
Burkea africana,48,Fabaceae,Burkea,africana,
Burmannia,48,Burmanniaceae,Burmannia,,
Calla palustris,48,Araceae,Calla,palustris,
Calyceraceae,48,Calyceraceae,,,
cf. Psychotria,48,Rubiaceae,Psychotria,,
cf. Scrophulariaceae,48,Scrophulariaceae,,,
Cussonia/Schefflera,48,Araliaceae,NA,,
Cyclopyxis arcelloides-type,48,NA,NA,NA,
Davalliaceae,48,Davalliaceae,,,
Echium vulgare-type,48,Boraginaceae,Echium,,
Empodisma,48,Restionaceae,Empodisma,,
"Lasiosphaeria sp. (type 63C, HdV)",48,NA,NA,NA,
Matteuccia struthiopteris,48,Onocleaceae,Onoclea,struthiopteris,
Melia,48,Meliaceae,Melia,,
Monnina,48,Polygalaceae,Monnina,,
Paspalum,48,Poaceae,Paspalum,,
Pedicularis langsdorffii,48,Orobanchaceae,Pedicularis,langsdorffii,
Pinus (corroded),48,Pinaceae,Pinus,,
Plagianthus,48,Malvaceae,Plagianthus,,
Poaceae (type 2),48,Poaceae,,,
Poaceae (type 3),48,Poaceae,,,
Poaceae (type 5),48,Poaceae,,,
Poaceae (type 6),48,Poaceae,,,
Podocarpaceae (type 2),48,Podocarpaceae,,,
Podocarpus spicatus/Dacrydium laxifolium,48,NA,NA,NA,
"Spermatophyta (type 1, EMA)",48,NA,NA,NA,
"Spermatophyta (type 62, EMA)",48,NA,NA,NA,
"Symplocos (triporate, psilate)",48,Symplocaceae,Symplocos,,
Tussilago-type,48,NA,NA,NA,
Unknown (type B),48,NA,NA,NA,
Unknown (type TRSE),48,NA,NA,NA,
Urticaceae/Moraceae (pentaporate),48,NA,NA,NA,
Acer circinatum-type,47,Sapindaceae,Acer,,
Agastachys,47,Proteaceae,Agastachys,,
Alsophila,47,Cyatheaceae,Alsophila,,
Ambrosiinae,47,,,,
Assulina-type,47,NA,NA,NA,
cf. Dryas,47,Rosaceae,Dryas,,
Cladosporium,47,NA,NA,NA,
Clematis vitalba group,47,Ranunculaceae,Clematis,,
Corrigiola telephiifolia,47,Caryophyllaceae,Corrigiola,litoralis,
Crudia,47,Fabaceae,Crudia,,
Curatella americana,47,Dilleniaceae,Curatella,americana,
Fungi (type 2),47,NA,NA,NA,
"Fungi (type 729, HdV)",47,NA,NA,NA,
Genista/Ulex-type,47,Fabaceae,Genista,,
Geranium sylvaticum,47,Geraniaceae,Geranium,sylvaticum,
Grewia-type,47,NA,NA,NA,
Guarea,47,Meliaceae,Guarea,,
Helotium schimperi,47,NA,NA,NA,
Lamanonia,47,Cunoniaceae,Lamanonia,,
Leptocarpus,47,Restionaceae,Leptocarpus,,
Loganiaceae,47,Loganiaceae,,,
Malvacipolloides maristellae,47,NA,NA,NA,
Maripa-type,47,NA,NA,NA,
Mimosa cf. M. taimbensis,47,Fabaceae,Mimosa,,
Morus alba,47,Moraceae,Morus,alba,
Mulinum-type,47,NA,NA,NA,
Myroxylon-type,47,NA,NA,NA,
Narcissus-type,47,NA,NA,NA,
Neoboutonia-type macrocalyx,47,NA,NA,NA,
Phaseolus,47,Fabaceae,Phaseolus,,
Polygonum aviculare/Bistorta officinalis-type,47,NA,NA,NA,
"Polypodiophyta (monolete, psilate, >65 µm)",47,NA,NA,NA,
Potamogeton/Stuckenia,47,Potamogetonaceae,NA,,
Proserpinaca,47,Haloragaceae,Proserpinaca,,
Pycnanthus angolensis,47,Myristicaceae,Pycnanthus,angolensis,
Selaginella-type,47,NA,NA,NA,
Sericostachys scandens-type,47,Amaranthaceae,Sericostachys,,
Silene uralensis-type,47,Caryophyllaceae,Silene,,
Spermatophyta undiff. (páramo),47,NA,NA,NA,
Trilepisium madagascariense,47,Moraceae,Trilepisium,madagascariense,
Unknown (Exotics),47,NA,NA,NA,
Unknown (herbaceous),47,NA,NA,NA,
"Unknown (monolete, 35 µm)",47,NA,NA,NA,
"Unknown (tetrad, psilate, small, circular, fine)",47,NA,NA,NA,
Ailanthus,46,Simaroubaceae,Ailanthus,,
Alangium chinense,46,Cornaceae,Alangium,chinense,
Altingia excelsa comp.,46,Altingiaceae,Liquidambar,,
Angiospermae undiff.,46,NA,NA,NA,
Apiaceae-type,46,NA,NA,NA,
"Asterosporium asterospermum (type M2, TM)",46,NA,NA,NA,
Bactris,46,Arecaceae,Bactris,,
Betula mean pollen-grain diameter,46,Betulaceae,Betula,,
Carya cordiformis,46,Juglandaceae,Carya,cordiformis,
Cedrus (broken),46,Pinaceae,Cedrus,,
cf. Arecaceae,46,Arecaceae,,,
Cistus/Helianthemum,46,Cistaceae,NA,,
Crotonoideae,46,NA,NA,NA,
Eucalyptus tetrodonta,46,Myrtaceae,Eucalyptus,tetrodonta,
Fagaceae,46,Fagaceae,,,
Geonoma,46,Arecaceae,Geonoma,,
Gloeocapsa,46,NA,NA,NA,
Gordonia/Laplacea,46,Theaceae,Gordonia,,
Grevillea-type,46,NA,NA,NA,
Grossulariaceae,46,Grossulariaceae,,,
"Invertebrata (type 221, HdV)",46,NA,NA,NA,
Lentibulariaceae,46,Lentibulariaceae,,,
Lepironia comp.,46,Cyperaceae,Lepironia,,
Lingulodinium machaerophorum (form B),46,NA,NA,NA,
Luetzelburgia,46,Fabaceae,Luetzelburgia,,
Marattia cf. M. verschaffeltiana,46,Marattiaceae,Marattia,,
Melaleuca squamea-type,46,Myrtaceae,Melaleuca,,
Melastomataceae (type 2),46,Melastomataceae,,,
Meliaceae/Sapotaceae undiff.,46,NA,NA,NA,
Moraceae cf. Brosimum,46,NA,NA,NA,
Pedicularis-type,46,NA,NA,NA,
Pilea bambuseti-type,46,Urticaceae,Pilea,,
Pipturus,46,Urticaceae,Pipturus,,
Poaceae (type 7),46,Poaceae,,,
"Polypodiophyta (monolete, foveolate)",46,NA,NA,NA,
Pterocarya fraxinifolia-type,46,Juglandaceae,Pterocarya,,
Quercus undiff. (crumpled),46,Fagaceae,Quercus,,
Roemeria-type,46,NA,NA,NA,
Secondatia (type 2),46,Apocynaceae,Secondatia,,
Sesbania,46,Fabaceae,Sesbania,,
Sonneratia alba/Sonneratia caseolaris,46,NA,NA,NA,
Spyridium,46,Rhamnaceae,Spyridium,,
Stachyothyrsus,46,Fabaceae,Stachyothyrsus,,
Stephania,46,Menispermaceae,Stephania,,
Suaeda-type,46,NA,NA,NA,
Tricolporites pseudocingulum,46,NA,NA,NA,
"Unknown (type 303, HdV)",46,NA,NA,NA,
Vepris-type dainellii,46,NA,NA,NA,
Xylosma sp.,46,Salicaceae,Xylosma,,
Acacia/Albizia,45,Fabaceae,NA,,
Acaena tenera,45,Rosaceae,Acaena,tenera,
Aegopodium podagraria,45,Apiaceae,Aegopodium,podagraria,
Agastachys odorata,45,Proteaceae,Agastachys,odorata,
Alopecurus magellanicus,45,Poaceae,Alopecurus,magellanicus,
Ambrosia artemisioides-type,45,Asteraceae,Ambrosia,,
Apiaceae cf. Dichosciadium,45,NA,NA,NA,
Araucaria cunninghamii,45,Araucariaceae,Araucaria,cunninghamii,
Artemisia (type A),45,Asteraceae,Artemisia,,
Artemisia vulgaris,45,Asteraceae,Artemisia,vulgaris,
Aspidosperma,45,Apocynaceae,Aspidosperma,,
Baeckea/Tristania,45,NA,NA,,
Botrychium simplex-type,45,Ophioglossaceae,Botrychium,,
bulk density,45,NA,NA,NA,
Centaurea nigra-type sensu lato,45,Asteraceae,Centaurea,,
cf. Helianthemum,45,Cistaceae,Helianthemum,,
cf. Piperaceae,45,Piperaceae,,,
cf. Thalictrum,45,Ranunculaceae,Thalictrum,,
Cistus-type undiff.,45,NA,NA,NA,
Dodonaea-type,45,NA,NA,NA,
Fragaria vesca,45,Rosaceae,Fragaria,vesca,
Galium antarcticum,45,Rubiaceae,Galium,antarcticum,
Gymnosporia,45,Celastraceae,Gymnosporia,,
Leontice leontopetalum,45,Berberidaceae,Leontice,leontopetalum,
Loesenera-type,45,NA,NA,NA,
Lycopodiaceae (type A),45,Lycopodiaceae,,,
Marattiaceae,45,Marattiaceae,,,
Mitragyna-type (M. rubrostipulata),45,NA,NA,NA,
Monospilus dispar,45,NA,NA,NA,
Myrianthus-type (M. arboreus),45,NA,NA,NA,
Nymphoides indica-type,45,Menyanthaceae,Nymphoides,,
Orobanchaceae cf. Euphrasia,45,NA,NA,NA,
Pleuroxus sp.,45,NA,NA,NA,
Polemonium boreale,45,Polemoniaceae,Polemonium,boreale,
Pteridium-type (P. aquilinum),45,NA,NA,NA,
Rauvolfia,45,Apocynaceae,Rauvolfia,,
Rosaceae (herbs) undiff.,45,Rosaceae,,,
Saxifraga hypnoides,45,Saxifragaceae,Saxifraga,hypnoides,
Tetrorchidium rubrivenium,45,Euphorbiaceae,Tetrorchidium,rubrivenium,
Tilia cordata/T. platyphyllos,45,Malvaceae,Tilia,,
Timonius-type,45,NA,NA,NA,
Tintinnidiidae,45,NA,NA,NA,
Unknown (type 130),45,NA,NA,NA,
Acritarch sp. B,44,NA,NA,NA,
Alnus (excluding A. viridis),44,Betulaceae,Alnus,,
Anthemis arvensis-type,44,Asteraceae,Anthemis,,
Aphanes arvensis-type,44,Rosaceae,Aphanes,,
Arceuthobium oxycedri,44,Santalaceae,Arceuthobium,oxycedri,
Bismarckia nobilis,44,Arecaceae,Bismarckia,nobilis,
Bistorta macrophylla,44,Polygonaceae,Bistorta,macrophylla,
Caucalis platycarpos,44,Apiaceae,Caucalis,platycarpos,
cf. Cannabis,44,Cannabaceae,Cannabis,,
cf. Thrinax/Iriartea,44,NA,NA,NA,
Cyclamen hederifolium,44,Primulaceae,Cyclamen,hederifolium,
Dalechampia,44,Euphorbiaceae,Dalechampia,,
Didymopanax distractiflorus/vinosus,44,Araliaceae,Didymopanax,,
Dracaena steudneri-type,44,Asparagaceae,Dracaena,,
Dracophyllum,44,Ericaceae,Dracophyllum,,
Erythrina-type,44,NA,NA,NA,
"Eudicotyledoneae (tricolporate, reticulate, Mauritius type 84, de Boer)",44,NA,NA,NA,
"Fungi (type 23, HdV)",44,NA,NA,NA,
Galiniera saxifraga-type,44,Rubiaceae,Galiniera,,
Guapira,44,Nyctaginaceae,Guapira,,
Helotium,44,NA,NA,NA,
Hymenophyllum wilsonii,44,Hymenophyllaceae,Hymenophyllum,wilsonii,
Isoëtes (type A),44,NA,NA,NA,
